Word, Consonants
arrival,RAIL
arrive,
arrived,
arrogance,
arrogant,GET
arrow,
arrowroot,GET
arrowsmith,THINK
arrowwood,NOT_IN_CMU_DICT
arse,
arsenal,RAIL
arsenic,
arson,
arthralgia,NOT_IN_CMU_DICT
arthritic,THINK RUN WATER
arthritis,THINK RUN WATER
arthropod,THINK RUN
arthropoda,NOT_IN_CMU_DICT
arthropodus,NOT_IN_CMU_DICT
arthrous,NOT_IN_CMU_DICT
arthur,THINK
arthurian,THINK
article,RAIL
articulated,LOOK WATER
artificial,RAIL
artificially,LOOK
artist,GET
artistic,
arts,
artwork,
aruba,
as,
asbestos,
ascend,
ascended,
ascending,TALKING
ascends,
ascot,GET
asda,
ash,
ashamed,
ashamedly,NOT_IN_CMU_DICT
ashanti,NOT_IN_CMU_DICT
ashbourne,NOT_IN_CMU_DICT
ashburton,NOT_IN_CMU_DICT
ashcan,NOT_IN_CMU_DICT
ashes,
ashkenazi,
ashley,LOOK
ashmolean,NOT_IN_CMU_DICT
ashore,
ashton,
ashtoreth,NOT_IN_CMU_DICT
asia,
asian,
aside,
ask,
askance,
asleep,LOOK
asp,
aspartame,WATER
aspect,GET
aspirations,
ass,
assassin,
assault,RAIL GET
assemble,RAIL
assembled,RAIL
assembler,LOOK
assembles,RAIL
assembling,LOOK TALKING
assembly,LOOK
assert,GET
asserted,WATER
asserting,WATER TALKING
assertion,
asserts,
assess,
assesses,
assessment,GET
asset,GET
assign,
assignee,NOT_IN_CMU_DICT
assignment,GET
assist,GET
assistance,
assistant,GET
assisted,
associate,GET
associated,WATER
association,
assort,GET
assume,
assumed,
assumption,
assurance,
assure,
assured,
assuredly,LOOK
assuredness,NOT_IN_CMU_DICT
asterisk,
asterisks,NOT_IN_CMU_DICT
asthma,
aston,
astonishing,TALKING
astoria,
astra,RUN
astrolabe,NOT_IN_CMU_DICT
astrology,RUN LOOK
astronaut,RUN GET
astronomer,RUN
astronomers,RUN
astronomy,RUN
asylum,LOOK
asynchronous,RUN
at,GET
at-home,NOT_IN_CMU_DICT
ata,WATER
atari,WATER
ate,GET
atheism,THINK
atheism,THINK
atheist,THINK GET
athena,THINK
athenaeum,THINK
athenian,THINK
athens,THINK
athey,THINK
